# Simulation 1 (Up to date)
# 967 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (391 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (m/s),Total acceleration (G),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,2.8112,0,2.8112,0,0,0,0,0,0,28.61,-80.6,0.99852,90,0,0,0,1635.1,412.9,0.13292,7.4279e-4,NaN,570.34,NaN,0.0051302,113922,61.089,0,0.72612,0,0.47549,0.13063,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,60,28.274,90,0,NaN,15,1013.2,340.39,0.01,0.018387
0.01,0.0013784,0.27569,10.431,0.27569,10.431,0,0,0,0,0,0,28.61,-80.6,0.99852,81.025,0,0,0,1635.1,412.9,0.13292,7.4279e-4,NaN,570.34,NaN,0.0051919,115292,183.27,3.4381e-5,0.72468,0.0063563,0.47405,0.13063,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5994e-6,60,28.274,90,0,NaN,15,1013.2,340.39,0.01,0.01985
0.02,0.0092526,1.2993,18.064,1.2993,18.064,0,0,0,0,0,0,28.61,-80.6,0.99852,53.33,0,0,0,1633.9,411.69,0.13284,7.4235e-4,NaN,570.15,NaN,0.0063915,141929,305.44,0.0023597,0.70075,0.28787,0.45012,0.13063,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6963e-5,60,28.274,90,0,NaN,15,1013.2,340.39,0.01,0.019951
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.031107,3.0719,25.708,3.0719,25.708,0,0,0,0,0,0,28.61,-80.6,0.99852,29.59,0,0,0,1632.7,410.49,0.13275,7.4191e-4,NaN,569.96,NaN,0.010378,230457,427.62,0.015741,0.65153,0.72834,0.40089,0.13063,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0106e-5,60,28.274,90,0,NaN,15,1013.2,340.39,0.01,0.021366
0.04,0.074438,5.5945,30.295,5.5945,30.295,0,0,0,0,0,0,28.61,-80.6,0.99852,17.312,0,0,0,1631.5,409.28,0.13267,7.4147e-4,NaN,569.77,NaN,0.017216,382286,500.73,0.047022,0.6083,0.79071,0.35762,0.13064,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3042e-5,60,28.274,90,0,NaN,15,1013.2,340.39,0.01,0.021471
0.05,0.14525,8.5681,30.427,8.5681,30.427,0,0,0,0,0,0,28.61,-80.6,0.99852,11.499,0,0,0,1629.7,407.52,0.13255,7.4083e-4,NaN,569.5,NaN,0.025687,570401,502.34,0.093977,0.57892,0.70982,0.32818,0.13066,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1186e-4,60,28.274,90,0,NaN,14.999,1013.2,340.39,0.01,0.021579
0.06,0.24586,11.556,30.533,11.556,30.533,0,0,0,0,0,0,28.61,-80.6,0.99852,8.4396,0,0,0,1627.3,405.15,0.13238,7.3996e-4,NaN,569.12,NaN,0.03432,762090,503.29,0.15196,0.5599,0.64299,0.30907,0.13068,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5087e-4,60,28.274,90,0,NaN,14.998,1013.2,340.39,0.0086538,0.021679
0.068654,0.35708,14.149,30.624,14.149,30.624,0,0,0,0,0,0,28.61,-80.6,0.99852,6.8104,0,0,0,1625.1,402.88,0.13222,7.3914e-4,NaN,568.77,NaN,0.041864,929599,504.08,0.21761,0.55959,0.61883,0.30865,0.13071,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8473e-4,60,28.274,90,0,NaN,14.998,1013.2,340.39,0.0070674,0.021773
0.075721,0.46459,16.274,30.697,16.274,30.697,0,0,0,0,0,0,28.61,-80.6,0.99852,5.8579,0,0,0,1623.2,400.96,0.13209,7.3844e-4,NaN,568.47,NaN,0.04806,1067175,504.75,0.28072,0.55967,0.60574,0.30863,0.13074,0.1203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1247e-4,60,28.274,90,0,NaN,14.997,1013.2,340.39,0.0061449,0.021856
